Cultivation,1.08,1.2,1.3,1.41,1.6
Belt Filter Press,0.057,0.0681,0.0779,0.0889,0.108
Hydrothermal Liquefaction,0.0451,0.0586,0.0698,0.0839,0.109
Hydrotreating,0.0783,0.0946,0.11,0.131,0.154
