Cultivation,1.05,1.18,1.29,1.42,1.61
Centrifugation,0.205,0.316,0.413,0.526,0.712
Thermal Drying,1.51,1.64,1.77,1.92,2.08
Hexane Extraction,0.274,0.301,0.324,0.348,0.384
Transesterefication,0.125,0.138,0.148,0.159,0.177
