Low Productivity,Dry Extraction,0.11,0.17,0.22,0.27,0.35
Low Productivity,Wet Extraction,0.17,0.32,0.45,0.59,0.81
Base Productivity,Dry Extraction,0.18,0.26,0.32,0.37,0.45
Base Productivity,Wet Extraction,0.65,0.99,1.17,1.43,1.87
High Productivity,Dry Extraction,0.19,0.28,0.35,0.41,0.49
High Productivity,Wet Extraction,1.01,1.44,1.78,2.25,3.79
